game_pk,at_bat_index,at_bat_number,event_index,pitch_number,play_id,call_description,balls_after_pitch,strikes_after_pitch,outs_after_pitch,abs_overturned,abs_in_progress,review_type,challenge_team_id,batting_team_id,fielding_team_id,challenge_side,abs_player_id,abs_player_name
822827,43,44,2,3.0,ca0d1d96-5d7b-328f-99a1-73279549c08b,Ball,3,0,2,True,False,MJ,141.0,141,114,batting,676914.0,Davis Schneider
822827,66,67,4,5.0,fb9e6fcf-3322-3d3a-8850-7f08b306bb57,Called Strike,3,2,2,True,False,MJ,141.0,114,141,fielding,623168.0,Tyler Heineman
822827,77,78,0,1.0,6c9bf4d3-3215-35fc-9ebb-ced05b25aa4e,Ball,1,0,2,True,False,MJ,141.0,141,114,batting,676914.0,Davis Schneider
822828,6,7,3,4.0,778beec2-df1f-3442-8793-e5e2e1e0b54e,Called Strike,2,2,0,True,False,MJ,142.0,141,142,fielding,605170.0,Victor Caratini
822829,9,10,0,1.0,e00ff6af-b80a-329d-9604-5b92b5ff070c,Called Strike,0,1,1,False,False,MJ,141.0,141,142,batting,665489.0,Vladimir Guerrero Jr.
822829,19,20,0,1.0,d46e6e7f-0e6b-396d-af9a-4633a3f07fcf,Called Strike,0,1,1,False,False,MJ,142.0,142,141,batting,605137.0,Josh Bell
822829,46,47,3,4.0,5e9a50e7-d3ea-34e7-b999-7c32ce71a889,Ball,3,1,0,False,False,MJ,142.0,141,142,fielding,680777.0,Ryan Jeffers
822829,53,54,0,1.0,be7d7e3b-43f3-388e-b2c7-a886181e333e,Ball,1,0,0,True,False,MJ,141.0,141,142,batting,676391.0,Ernie Clement
822829,58,59,5,5.0,108b8875-0227-35e9-b8a0-0cd71d7214b4,Ball,3,2,0,False,False,MJ,141.0,142,141,fielding,678218.0,Brandon Valenzuela
822830,2,3,1,2.0,f594edc6-7884-3778-be5d-8df53d2f8d51,Called Strike,1,1,2,True,False,MJ,141.0,142,141,fielding,678218.0,Brandon Valenzuela
822830,34,35,0,1.0,a1df2e83-8dde-3db8-8553-d24d66d3acaa,Called Strike,0,1,1,False,False,MJ,141.0,141,142,batting,676914.0,Davis Schneider
822830,48,49,1,2.0,80d68dcf-5981-33d9-a38d-d72f42fb5e06,Ball,1,1,2,True,False,MJ,141.0,141,142,batting,665489.0,Vladimir Guerrero Jr.
822831,51,52,4,3.0,f994c19a-0166-303c-9561-c23cc9581fd7,Called Strike,2,1,2,True,False,MJ,141.0,119,141,fielding,678218.0,Brandon Valenzuela
822831,52,53,3,4.0,4e17a8a1-63b1-38e1-b280-d0f4623bfd7e,Ball,2,2,0,True,False,MJ,141.0,141,119,batting,672960.0,Kazuma Okamoto
822831,63,64,2,2.0,628726d0-bd08-38b4-8068-359efb9f66be,Ball,1,1,2,False,False,MJ,119.0,141,119,fielding,669257.0,Will Smith
822832,34,35,2,2.0,684678cf-09df-3df9-84f2-e2bb1fdf0227,Ball,2,0,2,False,False,MJ,141.0,119,141,fielding,623168.0,Tyler Heineman
822832,53,54,6,,,"Blue Jays challenged (tag play), call on the field was upheld: Kyle Tucker steals (3) 3rd base. Teoscar Hernández steals (1) 2nd base.",3,1,2,False,False,MA,141.0,119,141,fielding,,
822832,58,59,4,5.0,f146eb57-e5f0-38fb-aabc-4b0f53120e53,Ball,3,2,2,False,False,MJ,119.0,141,119,fielding,687221.0,Dalton Rushing
